episod,total_reward,z_pos
1,-51.92744228890741,0.0
2,-51.86614180711689,0.0
3,-49.17327716972541,0.0
4,-14.28218696898833,1.8183702246522642
5,-53.30270434560793,0.0
6,-60.997833280802354,0.0
7,-61.62511888604367,0.0
8,-34.93481509886749,0.0
9,250.57388877305317,100.80177954800924
10,217.66402078672968,103.05674516575954
11,251.54035600684216,133.37315448653052
12,251.54064814654524,135.52186479493372
13,251.5404707767954,131.79045916928166
14,251.54064906961432,139.0615920991825
15,251.54130241222765,136.08014689137553
16,251.54167701906405,116.49931573763179
17,251.54148826178096,152.5409636369395
18,251.54161196891954,137.65617774818938
19,251.54172612525986,144.4075931731866
20,251.5421722751376,139.08780051719853
21,251.5419617457547,132.79969201333577
22,251.54212435490996,138.07861861030105
23,230.54179970873173,300.0
24,250.14147346986468,108.4221263429274
25,212.5420953506723,300.0
26,251.54194856321863,129.7091581834533
27,251.54219669405305,138.63310715708025
28,251.54219920206094,126.19393482544328
29,236.5420242951443,300.0
30,251.5421507392585,139.97969280708807
31,251.54200201140657,143.47334416946427
32,251.54226089212824,129.51289152696646
33,251.54184749659169,167.81105995401506
34,251.5424826429206,130.0140157980563
35,251.54197788423295,138.3438653908021
36,251.54200108868986,147.92811064205713
37,251.54195660790816,137.90891333042163
38,251.54220467676788,138.98572521230287
39,251.54209444191076,137.63775730435282
40,251.54219188222694,117.37404168003964
41,251.54241465486558,144.46588977442693
42,251.54227585506152,156.4269722668712
43,251.5422387307858,144.36876527005526
44,251.54213531167292,137.97937274069457
45,251.54217267308928,143.86862835035785
46,251.54226508093913,119.34752810075477
47,153.6880211716774,70.64004506047984
48,-62.24981304222565,0.0
49,-62.33749566592881,0.0
50,-62.20914811577408,0.0
51,-62.469556446173385,0.0
52,-62.34856434564351,0.0
53,-62.346688021488134,0.0
54,-62.46262858024936,0.0
55,-62.343656469599864,0.0
56,-62.39907707073803,0.0
57,-62.345040780707265,0.0
58,-62.393848622913566,0.0
59,-62.44528254590604,0.0
60,-62.39590936827181,0.0
61,-62.470061690631276,0.0
62,-62.391778311611304,0.0
63,-62.30376723495255,0.0
64,-59.62464760897373,0.0
65,-62.34489539003112,0.0
66,-62.33120655189406,0.0
67,-62.42749457834846,0.0
68,-62.300303602999456,0.0
69,-62.308920693578806,0.0
70,-62.41204638745918,0.0
71,-62.44375734041549,0.0
72,-62.260016714529954,0.0
73,-62.44286002930784,0.0
74,-62.26348102348724,0.0
75,-62.40361308244162,0.0
76,-62.44262915092477,0.0
77,-62.22244971827772,0.0
78,-62.50700756200327,0.0
79,-62.38119153723513,0.0
80,-62.346173751699695,0.0
81,-62.467579367594865,0.0
82,-62.3918008300209,0.0
83,-62.532031018193905,0.0
84,-62.27654623566989,0.0
85,-62.41445013020196,0.0
86,-62.33389320166478,0.0
87,-62.41827721671238,0.0
88,-62.19625406166929,0.0
89,-62.43677548483387,0.0
90,-62.345396756824826,0.0
91,-62.513355893510244,0.0
92,-62.324280129630765,0.0
93,-59.5994097161688,0.0
94,-62.424545479480216,0.0
95,-62.379971046971875,0.0
96,-62.42993907899729,0.0
97,-62.26792845450866,0.0
98,-62.27273967256184,0.0
99,-62.35804572860388,0.0
100,-62.467130617872506,0.0
101,-62.47976234621666,0.0
102,-62.23100683368095,0.0
103,-62.29324327585078,0.0
104,-62.42271936578959,0.0
105,-62.33840481862788,0.0
106,-62.412553820311004,0.0
107,-62.30021675460834,0.0
108,-62.48451492103692,0.0
109,-59.60951855313941,0.0
110,-62.39672589714864,0.0
111,-62.34717251891319,0.0
112,-62.373967642901725,0.0
113,-62.482928851510124,0.0
114,-62.45369874795635,0.0
115,-62.34577417490093,0.0
116,-62.49365853386032,0.0
117,-62.47102815385084,0.0
118,-62.41887605448417,0.0
119,-62.39007287804052,0.0
120,-62.368636477739685,0.0
121,-62.43373395596369,0.0
122,-62.515983856770426,0.0
123,-62.088948251954704,0.0
124,-62.48467895600902,0.0
125,-62.50543406824911,0.0
126,-62.37089841101882,0.0
127,-62.516498932829975,0.0
128,-62.24233982247643,0.0
129,-62.2710995433215,0.0
130,-62.381577168874415,0.0
131,-62.37064594680726,0.0
132,-62.33098652596978,0.0
133,-62.31358880980137,0.0
134,-62.40632425537674,0.0
135,-62.224783571737134,0.0
136,-62.17499993919719,0.0
137,-62.60874512045915,0.0
138,-62.36885954269235,0.0
139,-62.3603115929853,0.0
140,-62.28198890842273,0.0
141,-62.41882883742258,0.0
142,-62.28267054220241,0.0
143,-62.533251240827134,0.0
144,-62.3565513181305,0.0
145,-62.389149565715556,0.0
146,-62.34104267382386,0.0
147,-62.5010924767152,0.0
148,-62.51511591153216,0.0
149,-62.34334279364788,0.0
150,-62.33443461390979,0.0
151,-62.52559734692912,0.0
152,-62.488955301789865,0.0
153,-62.375453796284845,0.0
154,-62.25295237285417,0.0
155,-62.24862442790994,0.0
156,-62.40303362611168,0.0
157,-62.37365709457827,0.0
158,-62.2918338120585,0.0
159,-62.422791548556745,0.0
160,-62.24991694108546,0.0
161,-62.156052036456174,0.0
162,-62.39246111105747,0.0
163,-62.62859591476526,0.0
164,-62.39497191389358,0.0
165,-62.29181430388444,0.0
166,-59.599822185811654,0.0
167,-62.34427405896105,0.0
168,-62.501156705448665,0.0
169,-62.37398286611859,0.0
170,-62.38652521753716,0.0
171,-62.38213596610914,0.0
172,-62.51090949955989,0.0
173,-62.44890852751078,0.0
174,-62.37304686894694,0.0
175,-62.26718915937442,0.0
176,-62.31394585053587,0.0
177,-62.31238029192206,0.0
178,-62.351718679844794,0.0
179,-62.27623766174171,0.0
180,-62.48074329723152,0.0
181,-62.49590371345272,0.0
182,-62.370779953607666,0.0
183,-62.38627166675177,0.0
184,-62.30139114489164,0.0
185,-62.400948565001045,0.0
186,-62.4971104567457,0.0
187,-62.43387870606342,0.0
188,-62.297963697221064,0.0
189,-62.447121879747215,0.0
190,-62.35068403853026,0.0
191,-62.33349863884549,0.0
192,-62.65303402197592,0.0
193,-62.557576735190395,0.0
194,-62.55450840357882,0.0
195,-62.279036142138516,0.0
196,-62.380447437983115,0.0
197,-62.46655039873952,0.0
198,-62.35313160758137,0.0
199,-62.366698191984554,0.0
200,-62.49051926298461,0.0
201,-62.43239284214687,0.0
202,-62.166955899019,0.0
203,-62.328686176207846,0.0
204,-62.24093597010959,0.0
205,-62.56567381323932,0.0
206,-62.29781732461775,0.0
207,-62.3030623262974,0.0
208,-62.39482178876386,0.0
209,-62.24924440282285,0.0
210,-62.26336420346168,0.0
211,-62.37613856173729,0.0
212,-62.34569844119515,0.0
213,-62.50077277561366,0.0
214,-62.280466186016724,0.0
215,-62.461767467849334,0.0
216,-62.27567049263821,0.0
217,-62.3458489802916,0.0
218,-62.361182461332525,0.0
219,-62.43877981346603,0.0
220,-62.29361484562555,0.0
221,-62.30358780391749,0.0
222,-62.391108546961185,0.0
223,-62.66701648069837,0.0
224,-62.39824649846379,0.0
225,-62.34687842160763,0.0
226,-62.274805479738866,0.0
227,-62.50305839494879,0.0
228,-62.550934919261145,0.0
229,-62.30665961826479,0.0
230,-62.37386711286247,0.0
231,-62.401968982883965,0.0
232,-62.37287347674052,0.0
233,-62.24179700372703,0.0
234,-62.36690525286497,0.0
235,-62.38295066135686,0.0
236,-62.531451334104034,0.0
237,-62.46500368550578,0.0
238,-62.45244988965517,0.0
239,-62.22665503107574,0.0
240,-62.426610789827905,0.0
241,-62.567818233011124,0.0
242,-62.244007559080686,0.0
243,-62.340387607262954,0.0
244,-62.269039976547006,0.0
245,-62.36393831066545,0.0
246,-62.31679374793,0.0
247,-62.17711972640465,0.0
248,-62.41043331347266,0.0
249,-62.4019525662348,0.0
250,-62.36172809348362,0.0
251,-62.38824614504306,0.0
252,-62.32829506742173,0.0
253,-62.31786862711154,0.0
254,-62.26495648164112,0.0
255,-62.255891308756034,0.0
256,-62.4753736933776,0.0
257,-62.19046718551871,0.0
258,-62.21954836694762,0.0
259,-62.31831671878647,0.0
260,-62.23308104368071,0.0
261,-62.42690774230005,0.0
262,-62.28248534546872,0.0
263,-62.15215680449411,0.0
264,-62.32587219933301,0.0
265,-62.207255518939064,0.0
266,-62.40896097281946,0.0
267,-62.444327840063764,0.0
268,-62.35257662849971,0.0
269,-62.34598491104599,0.0
270,-62.326910017445826,0.0
271,-62.39045032611257,0.0
272,-62.16887316799566,0.0
273,-62.4163213541269,0.0
274,-62.320172380208355,0.0
275,-62.518101050715885,0.0
276,-62.25475382398626,0.0
277,-62.299953161760975,0.0
278,-62.523575412465675,0.0
279,-62.31296888697689,0.0
280,-62.35316191452814,0.0
281,-62.48090934327628,0.0
282,-62.35047414975624,0.0
283,-62.33754419499492,0.0
284,-62.176709915041485,0.0
285,-62.369283373762826,0.0
286,-62.48310077846421,0.0
287,-62.34840301246938,0.0
288,-62.36939692944782,0.0
289,-62.315296057892276,0.0
290,-62.28281959328916,0.0
291,-62.353926419034984,0.0
292,-62.154502993123195,0.0
293,-62.277160672742355,0.0
294,-62.27416561518328,0.0
295,-62.42639713637736,0.0
296,-62.28842103224094,0.0
297,-62.29128075896863,0.0
298,-62.371592291808014,0.0
299,-62.46743512063019,0.0
300,-62.253370094450275,0.0
301,-62.36294609167629,0.0
302,-62.22611581761228,0.0
303,-62.35050635118028,0.0
304,-62.45902568129826,0.0
305,-62.165794620483226,0.0
306,-62.2780095892368,0.0
307,-62.3117402171868,0.0
308,-62.31964679599062,0.0
309,-62.37882594985811,0.0
310,-62.22444025188981,0.0
311,-62.548879778721044,0.0
312,-62.31735716267933,0.0
313,-62.51614564673319,0.0
314,-62.413930411773656,0.0
315,-62.230329042310004,0.0
316,-62.100111070175515,0.0
317,-62.20977633340331,0.0
318,-62.4650207367536,0.0
319,-62.383793472378024,0.0
320,-62.31283823510237,0.0
321,-62.455076051174274,0.0
322,-62.3705878816229,0.0
323,-62.479737426194106,0.0
324,-62.398168973991915,0.0
325,-62.58693083825353,0.0
326,-62.42394570731862,0.0
327,-62.34412156632477,0.0
328,-62.43543558962773,0.0
329,-62.46226768917504,0.0
330,-62.32614061208023,0.0
331,-62.29460153483072,0.0
332,-62.31915908150701,0.0
333,-62.63486674125579,0.0
334,-62.338385749428156,0.0
335,-62.369699359765555,0.0
336,-62.25736392429839,0.0
337,-62.30084647401259,0.0
338,-62.391952299164785,0.0
339,-59.553490095373384,0.0
340,-62.37202647613764,0.0
341,-62.413953003594955,0.0
342,-62.41304757933531,0.0
343,-62.243542533135276,0.0
344,-62.47961193366935,0.0
345,-62.41751442585176,0.0
346,-62.44372640467624,0.0
347,-62.29046547275966,0.0
348,-62.308754340606114,0.0
349,-62.34625953117199,0.0
350,-62.298159152011806,0.0
351,-62.526585876000006,0.0
352,-62.394662655696486,0.0
353,-62.34331651537519,0.0
354,-62.29049406239868,0.0
355,-62.38159107756904,0.0
356,-62.36778525416891,0.0
357,-62.02034736147331,0.0
358,-62.28212379117042,0.0
359,-62.30199801422594,0.0
360,-62.30947823634898,0.0
361,-62.544748918511466,0.0
362,-62.28754710422172,0.0
363,-62.214136637805005,0.0
364,-62.46311931466327,0.0
365,-62.34979192635633,0.0
366,-62.48795973992559,0.0
367,-62.581010779182556,0.0
368,-62.535463652552195,0.0
369,-62.502846313583795,0.0
370,-62.347404748732316,0.0
371,-62.31807498947351,0.0
372,-62.144438363658686,0.0
373,-62.470182736752236,0.0
374,-62.32965778133443,0.0
375,-62.40162349365017,0.0
376,-62.30713577061127,0.0
377,-62.353184488587694,0.0
378,-62.361204610729374,0.0
379,-62.17591705724523,0.0
380,-62.46810619492219,0.0
381,-62.35550730861627,0.0
382,-62.30686087852767,0.0
383,-62.57158797850497,0.0
384,-62.438755221611906,0.0
385,-62.34243612300195,0.0
386,-62.43538516135189,0.0
387,-62.465634539373326,0.0
388,-62.39749827827133,0.0
389,-62.41332781845752,0.0
390,-62.42718401549476,0.0
391,-62.27473570905956,0.0
392,-62.34250559750569,0.0
393,-62.170522006318905,0.0
394,-62.26461653639144,0.0
395,-62.40127553361967,0.0
396,-62.42512188924041,0.0
397,-62.38063301420962,0.0
398,-62.53612296035711,0.0
399,-62.13683732108312,0.0
400,-62.27961162383445,0.0
401,-62.45022599599104,0.0
402,-62.375381245446185,0.0
403,-62.40735874864385,0.0
404,-62.30497713327584,0.0
405,-62.42683590689386,0.0
406,-62.30283287869778,0.0
407,-62.26277976841219,0.0
408,-62.378158845726965,0.0
409,-62.39609077023185,0.0
410,-62.23752463117674,0.0
411,-62.21521940966349,0.0
412,-62.41080791456949,0.0
413,-62.29435081392792,0.0
414,-62.38305459248895,0.0
415,-62.41771386414393,0.0
416,-62.26482504925337,0.0
417,-62.30765532769936,0.0
418,-62.4107361831255,0.0
419,-62.267797813273354,0.0
420,-62.4691021632283,0.0
421,-62.27487670601285,0.0
422,-62.477947635957364,0.0
423,-62.2974167893249,0.0
424,-62.415009578879825,0.0
425,-62.18583902219021,0.0
426,-62.42363630297341,0.0
427,-62.50119528653121,0.0
428,-62.42202118501566,0.0
429,-62.43473356965531,0.0
430,-62.38576310323111,0.0
